="Negative binomial regression analysis of invention quality (non-self citations received) \label{ae.model192021}"
="",="(1)",="(2)",="(3)"
="",="Non-Self Citations",="Non-Self Citations",="Non-Self Citations"
="Non-Self Citations",="",="",=""
="Share Citations Made[Same Region, Same Assignee]",="0.826",="0.899",="0.831"
="",="(0.000)",="(0.000)",="(0.000)"
="Share Citations Made[Same Region, Different Assignee]",="0.816",="0.809",="0.811"
="",="(0.000)",="(0.003)",="(0.000)"
="Share Citations Made[Different Region, Same Assignee]",="0.673",="0.655",="0.678"
="",="(0.000)",="(0.000)",="(0.000)"
="Share Citations Made[Different Region, Different Assignee]",="0.820",="0.934",="0.802"
="",="(0.000)",="(0.000)",="(0.000)"
="Log (Total Citations Made)",="0.180",="0.126",="0.214"
="",="(0.000)",="(0.000)",="(0.000)"
="Log (Num Patents)",="0.634",="0.701",="0.620"
="",="(0.000)",="(0.000)",="(0.000)"
="Log (Patent Pool Size)",="-0.0783",="-0.128",="-0.0734"
="",="(0.000)",="(0.000)",="(0.000)"
="Constant",="-1.008",="-0.889",="-1.029"
="",="(0.000)",="(0.000)",="(0.000)"
="Observations",="15701",="6324",="9377"
="Groups",="1654",="587",="1067"
="Sample",="All Locations (UC)",="US Locations (UC)",="Non-US Locations (UC)"
="p-values in parentheses"
="All models include region fixed effects, year dummies and technology subcategory controls"
